nfilter,t1,t2,t3,t4,t5,label_mad
532,25.65,24.037,3.907,1.774,1.433,48979.5
141,6.573,6.793,1.052,0.662,0.4,87183
48,1.813,2.034,0.421,0.26,0.091,87751.5
27,0.541,1.183,0.3,0.061,1.233,15523
469,19.277,20.5,3.416,1.233,20.069,22307
2036,106.035,83.701,18.886,6.032,19.207,18877.5
1328,75.626,55.107,12.404,4.689,4.83,30567.5
401,21.952,17.785,2.876,1.603,0.861,40206
48,2.826,2.935,0.411,0.28,0.17,24210.5
13,0.45,0.611,0.19,0.141,0.04,4544
20,0.471,0.942,0.221,0.14,0.952,20862
392,15.36,16.642,2.786,1.403,18.045,21835
2463,121.405,101.145,22.603,6.172,26.19,20097
1906,103.49,76.388,17.764,4.148,11.121,17397
942,53.073,38.024,8.366,2.445,2.625,17695.5
222,10.821,9.238,1.583,0.521,0.351,23349
6,0.381,0.28,0.16,0.041,0.031,1102.5
17,0.441,0.741,0.22,0.14,0.922,44719
289,11.733,13.907,2.014,1.423,15.139,43964
2060,109.572,90.275,19.017,6.773,21.361,59725
1392,79.594,62.511,13.105,5.16,5.551,57309
523,27.473,24.007,3.897,1.843,1.103,55962
97,4.569,4.869,0.762,0.45,0.241,70640
25,1.102,1.232,0.281,0.301,0.05,49112
25,0.651,1.453,0.25,0.131,1.173,15334
510,20.359,22.464,3.697,1.713,22.023,16444
2319,119.271,96.697,21.372,6.402,22.774,17497
1243,74.905,51.409,11.633,3.216,6.813,20232
407,25.41,17.364,2.895,1.252,0.511,22180
6,0.461,0.391,0.18,0.11,0.19,8262
17,0.601,0.772,0.22,0.12,0.04,8970
30,0.631,1.493,0.301,0.16,1.353,8081
535,22.744,23.786,3.888,2.375,23.535,34518
2395,121.576,102.809,22.102,10.009,25.499,49573
1694,93.972,74.164,15.86,6.463,6.713,26203.5
625,35.759,27.002,5.05,2.244,1.433,23616
113,5.14,5.14,0.911,0.501,0.231,22153
16,0.501,0.741,0.2,0.13,0.05,39638.5
19,0.47,0.882,0.241,0.151,0.912,14206
404,16.171,17.815,2.845,1.343,20.97,23652
1928,104.242,80.336,18.034,4.89,21.852,22996
1616,88.942,68.092,15.169,4.469,9.478,24143
991,52.362,43.404,8.957,2.736,3.416,24246
381,17.984,17.664,2.655,1.153,0.871,30586
117,4.71,5.701,0.902,0.471,0.231,53881
11,0.41,0.942,0.21,0.151,0.031,38563
20,0.431,0.912,0.221,0.13,1.002,3999
258,11.222,12.183,1.794,1.302,11.843,6479.5
1221,80.285,50.678,11.522,4.418,20.189,8267
720,54.305,29.838,5.791,2.314,10.319,11126.5
497,34.186,22.444,3.647,1.974,2.635,21617
179,11.262,8.196,1.343,1.162,0.822,24942
57,4.649,2.634,0.512,0.26,0.181,17120
3,0.26,0.21,0.13,0.13,0.031,25787
24,0.582,1.072,0.231,0.441,1.142,35283
430,17.614,19.508,3.076,1.533,22.023,37922
2402,157.304,100.734,22.353,7.254,28.865,32358.5
1697,96.808,69.795,15.991,4.599,10.099,23593
778,42.923,32.753,6.372,1.954,2.214,20053
166,8.928,7.294,1.213,0.41,0.371,17356
